scenario,seed,method,declared_failure,always_answer_form,gate_wrapped_answer
ate_poor_overlap,85000006,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000006,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000007,Pretrained soft router,support,True,False
ate_poor_overlap,85000007,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000007,Temperature-scaled router,support,True,False
ate_poor_overlap,85000007,Uniform expert mean,support,True,False
ate_poor_overlap,85000007,Median expert,support,True,False
ate_poor_overlap,85000007,Best fixed expert,support,True,False
ate_poor_overlap,85000007,Metadata-only selector,support,True,False
ate_poor_overlap,85000007,Shallow risk selector,support,True,False
ate_poor_overlap,85000007,Convex stack,support,True,False
ate_poor_overlap,85000007,Linear g-computation,support,True,False
ate_poor_overlap,85000007,Random forest g-computation,support,True,False
ate_poor_overlap,85000007,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000007,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000008,Pretrained soft router,support,True,False
ate_poor_overlap,85000008,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000008,Temperature-scaled router,support,True,False
ate_poor_overlap,85000008,Uniform expert mean,support,True,False
ate_poor_overlap,85000008,Median expert,support,True,False
ate_poor_overlap,85000008,Best fixed expert,support,True,False
ate_poor_overlap,85000008,Metadata-only selector,support,True,False
ate_poor_overlap,85000008,Shallow risk selector,support,True,False
ate_poor_overlap,85000008,Convex stack,support,True,False
ate_poor_overlap,85000008,Linear g-computation,support,True,False
ate_poor_overlap,85000008,Random forest g-computation,support,True,False
ate_poor_overlap,85000008,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000008,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000009,Pretrained soft router,support,True,False
ate_poor_overlap,85000009,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000009,Temperature-scaled router,support,True,False
ate_poor_overlap,85000009,Uniform expert mean,support,True,False
ate_poor_overlap,85000009,Median expert,support,True,False
ate_poor_overlap,85000009,Best fixed expert,support,True,False
ate_poor_overlap,85000009,Metadata-only selector,support,True,False
ate_poor_overlap,85000009,Shallow risk selector,support,True,False
ate_poor_overlap,85000009,Convex stack,support,True,False
ate_poor_overlap,85000009,Linear g-computation,support,True,False
ate_poor_overlap,85000009,Random forest g-computation,support,True,False
ate_poor_overlap,85000009,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000009,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000010,Pretrained soft router,support,True,False
ate_poor_overlap,85000010,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000010,Temperature-scaled router,support,True,False
ate_poor_overlap,85000010,Uniform expert mean,support,True,False
ate_poor_overlap,85000010,Median expert,support,True,False
ate_poor_overlap,85000010,Best fixed expert,support,True,False
ate_poor_overlap,85000010,Metadata-only selector,support,True,False
ate_poor_overlap,85000010,Shallow risk selector,support,True,False
ate_poor_overlap,85000010,Convex stack,support,True,False
ate_poor_overlap,85000010,Linear g-computation,support,True,False
ate_poor_overlap,85000010,Random forest g-computation,support,True,False
ate_poor_overlap,85000010,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000010,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000011,Pretrained soft router,support,True,False
ate_poor_overlap,85000011,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000011,Temperature-scaled router,support,True,False
ate_poor_overlap,85000011,Uniform expert mean,support,True,False
ate_poor_overlap,85000011,Median expert,support,True,False
ate_poor_overlap,85000011,Best fixed expert,support,True,False
ate_poor_overlap,85000011,Metadata-only selector,support,True,False
ate_poor_overlap,85000011,Shallow risk selector,support,True,False
ate_poor_overlap,85000011,Convex stack,support,True,False
ate_poor_overlap,85000011,Linear g-computation,support,True,False
ate_poor_overlap,85000011,Random forest g-computation,support,True,False
ate_poor_overlap,85000011,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000011,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000012,Pretrained soft router,support,True,False
ate_poor_overlap,85000012,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000012,Temperature-scaled router,support,True,False
ate_poor_overlap,85000012,Uniform expert mean,support,True,False
ate_poor_overlap,85000012,Median expert,support,True,False
ate_poor_overlap,85000012,Best fixed expert,support,True,False
ate_poor_overlap,85000012,Metadata-only selector,support,True,False
ate_poor_overlap,85000012,Shallow risk selector,support,True,False
ate_poor_overlap,85000012,Convex stack,support,True,False
ate_poor_overlap,85000012,Linear g-computation,support,True,False
ate_poor_overlap,85000012,Random forest g-computation,support,True,False
ate_poor_overlap,85000012,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000012,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000013,Pretrained soft router,support,True,False
ate_poor_overlap,85000013,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000013,Temperature-scaled router,support,True,False
ate_poor_overlap,85000013,Uniform expert mean,support,True,False
ate_poor_overlap,85000013,Median expert,support,True,False
ate_poor_overlap,85000013,Best fixed expert,support,True,False
ate_poor_overlap,85000013,Metadata-only selector,support,True,False
ate_poor_overlap,85000013,Shallow risk selector,support,True,False
ate_poor_overlap,85000013,Convex stack,support,True,False
ate_poor_overlap,85000013,Linear g-computation,support,True,False
ate_poor_overlap,85000013,Random forest g-computation,support,True,False
ate_poor_overlap,85000013,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000013,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000014,Pretrained soft router,support,True,False
ate_poor_overlap,85000014,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000014,Temperature-scaled router,support,True,False
ate_poor_overlap,85000014,Uniform expert mean,support,True,False
ate_poor_overlap,85000014,Median expert,support,True,False
ate_poor_overlap,85000014,Best fixed expert,support,True,False
ate_poor_overlap,85000014,Metadata-only selector,support,True,False
ate_poor_overlap,85000014,Shallow risk selector,support,True,False
ate_poor_overlap,85000014,Convex stack,support,True,False
ate_poor_overlap,85000014,Linear g-computation,support,True,False
ate_poor_overlap,85000014,Random forest g-computation,support,True,False
ate_poor_overlap,85000014,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000014,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000015,Pretrained soft router,support,True,False
ate_poor_overlap,85000015,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000015,Temperature-scaled router,support,True,False
ate_poor_overlap,85000015,Uniform expert mean,support,True,False
ate_poor_overlap,85000015,Median expert,support,True,False
ate_poor_overlap,85000015,Best fixed expert,support,True,False
ate_poor_overlap,85000015,Metadata-only selector,support,True,False
ate_poor_overlap,85000015,Shallow risk selector,support,True,False
ate_poor_overlap,85000015,Convex stack,support,True,False
ate_poor_overlap,85000015,Linear g-computation,support,True,False
ate_poor_overlap,85000015,Random forest g-computation,support,True,False
ate_poor_overlap,85000015,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000015,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000016,Pretrained soft router,support,True,False
ate_poor_overlap,85000016,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000016,Temperature-scaled router,support,True,False
ate_poor_overlap,85000016,Uniform expert mean,support,True,False
ate_poor_overlap,85000016,Median expert,support,True,False
ate_poor_overlap,85000016,Best fixed expert,support,True,False
ate_poor_overlap,85000016,Metadata-only selector,support,True,False
ate_poor_overlap,85000016,Shallow risk selector,support,True,False
ate_poor_overlap,85000016,Convex stack,support,True,False
ate_poor_overlap,85000016,Linear g-computation,support,True,False
ate_poor_overlap,85000016,Random forest g-computation,support,True,False
ate_poor_overlap,85000016,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000016,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000017,Pretrained soft router,support,True,False
ate_poor_overlap,85000017,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000017,Temperature-scaled router,support,True,False
ate_poor_overlap,85000017,Uniform expert mean,support,True,False
ate_poor_overlap,85000017,Median expert,support,True,False
ate_poor_overlap,85000017,Best fixed expert,support,True,False
ate_poor_overlap,85000017,Metadata-only selector,support,True,False
ate_poor_overlap,85000017,Shallow risk selector,support,True,False
ate_poor_overlap,85000017,Convex stack,support,True,False
ate_poor_overlap,85000017,Linear g-computation,support,True,False
ate_poor_overlap,85000017,Random forest g-computation,support,True,False
ate_poor_overlap,85000017,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000017,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000018,Pretrained soft router,support,True,False
ate_poor_overlap,85000018,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000018,Temperature-scaled router,support,True,False
ate_poor_overlap,85000018,Uniform expert mean,support,True,False
ate_poor_overlap,85000018,Median expert,support,True,False
ate_poor_overlap,85000018,Best fixed expert,support,True,False
ate_poor_overlap,85000018,Metadata-only selector,support,True,False
ate_poor_overlap,85000018,Shallow risk selector,support,True,False
ate_poor_overlap,85000018,Convex stack,support,True,False
ate_poor_overlap,85000018,Linear g-computation,support,True,False
ate_poor_overlap,85000018,Random forest g-computation,support,True,False
ate_poor_overlap,85000018,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000018,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000019,Pretrained soft router,support,True,False
ate_poor_overlap,85000019,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000019,Temperature-scaled router,support,True,False
ate_poor_overlap,85000019,Uniform expert mean,support,True,False
ate_poor_overlap,85000019,Median expert,support,True,False
ate_poor_overlap,85000019,Best fixed expert,support,True,False
ate_poor_overlap,85000019,Metadata-only selector,support,True,False
ate_poor_overlap,85000019,Shallow risk selector,support,True,False
ate_poor_overlap,85000019,Convex stack,support,True,False
ate_poor_overlap,85000019,Linear g-computation,support,True,False
ate_poor_overlap,85000019,Random forest g-computation,support,True,False
ate_poor_overlap,85000019,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000019,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000020,Pretrained soft router,support,True,False
ate_poor_overlap,85000020,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000020,Temperature-scaled router,support,True,False
ate_poor_overlap,85000020,Uniform expert mean,support,True,False
ate_poor_overlap,85000020,Median expert,support,True,False
ate_poor_overlap,85000020,Best fixed expert,support,True,False
ate_poor_overlap,85000020,Metadata-only selector,support,True,False
ate_poor_overlap,85000020,Shallow risk selector,support,True,False
ate_poor_overlap,85000020,Convex stack,support,True,False
ate_poor_overlap,85000020,Linear g-computation,support,True,False
ate_poor_overlap,85000020,Random forest g-computation,support,True,False
ate_poor_overlap,85000020,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000020,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000021,Pretrained soft router,support,True,False
ate_poor_overlap,85000021,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000021,Temperature-scaled router,support,True,False
ate_poor_overlap,85000021,Uniform expert mean,support,True,False
ate_poor_overlap,85000021,Median expert,support,True,False
ate_poor_overlap,85000021,Best fixed expert,support,True,False
ate_poor_overlap,85000021,Metadata-only selector,support,True,False
ate_poor_overlap,85000021,Shallow risk selector,support,True,False
ate_poor_overlap,85000021,Convex stack,support,True,False
ate_poor_overlap,85000021,Linear g-computation,support,True,False
ate_poor_overlap,85000021,Random forest g-computation,support,True,False
ate_poor_overlap,85000021,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000021,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000022,Pretrained soft router,support,True,False
ate_poor_overlap,85000022,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000022,Temperature-scaled router,support,True,False
ate_poor_overlap,85000022,Uniform expert mean,support,True,False
ate_poor_overlap,85000022,Median expert,support,True,False
ate_poor_overlap,85000022,Best fixed expert,support,True,False
ate_poor_overlap,85000022,Metadata-only selector,support,True,False
ate_poor_overlap,85000022,Shallow risk selector,support,True,False
ate_poor_overlap,85000022,Convex stack,support,True,False
ate_poor_overlap,85000022,Linear g-computation,support,True,False
ate_poor_overlap,85000022,Random forest g-computation,support,True,False
ate_poor_overlap,85000022,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000022,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000023,Pretrained soft router,support,True,False
ate_poor_overlap,85000023,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000023,Temperature-scaled router,support,True,False
ate_poor_overlap,85000023,Uniform expert mean,support,True,False
ate_poor_overlap,85000023,Median expert,support,True,False
ate_poor_overlap,85000023,Best fixed expert,support,True,False
ate_poor_overlap,85000023,Metadata-only selector,support,True,False
ate_poor_overlap,85000023,Shallow risk selector,support,True,False
ate_poor_overlap,85000023,Convex stack,support,True,False
ate_poor_overlap,85000023,Linear g-computation,support,True,False
ate_poor_overlap,85000023,Random forest g-computation,support,True,False
ate_poor_overlap,85000023,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000023,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000024,Pretrained soft router,support,True,False
ate_poor_overlap,85000024,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000024,Temperature-scaled router,support,True,False
ate_poor_overlap,85000024,Uniform expert mean,support,True,False
ate_poor_overlap,85000024,Median expert,support,True,False
ate_poor_overlap,85000024,Best fixed expert,support,True,False
ate_poor_overlap,85000024,Metadata-only selector,support,True,False
ate_poor_overlap,85000024,Shallow risk selector,support,True,False
ate_poor_overlap,85000024,Convex stack,support,True,False
ate_poor_overlap,85000024,Linear g-computation,support,True,False
ate_poor_overlap,85000024,Random forest g-computation,support,True,False
ate_poor_overlap,85000024,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000024,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000025,Pretrained soft router,support,True,False
ate_poor_overlap,85000025,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000025,Temperature-scaled router,support,True,False
ate_poor_overlap,85000025,Uniform expert mean,support,True,False
ate_poor_overlap,85000025,Median expert,support,True,False
ate_poor_overlap,85000025,Best fixed expert,support,True,False
ate_poor_overlap,85000025,Metadata-only selector,support,True,False
ate_poor_overlap,85000025,Shallow risk selector,support,True,False
ate_poor_overlap,85000025,Convex stack,support,True,False
ate_poor_overlap,85000025,Linear g-computation,support,True,False
ate_poor_overlap,85000025,Random forest g-computation,support,True,False
ate_poor_overlap,85000025,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000025,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000026,Pretrained soft router,support,True,False
ate_poor_overlap,85000026,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000026,Temperature-scaled router,support,True,False
ate_poor_overlap,85000026,Uniform expert mean,support,True,False
ate_poor_overlap,85000026,Median expert,support,True,False
ate_poor_overlap,85000026,Best fixed expert,support,True,False
ate_poor_overlap,85000026,Metadata-only selector,support,True,False
ate_poor_overlap,85000026,Shallow risk selector,support,True,False
ate_poor_overlap,85000026,Convex stack,support,True,False
ate_poor_overlap,85000026,Linear g-computation,support,True,False
ate_poor_overlap,85000026,Random forest g-computation,support,True,False
ate_poor_overlap,85000026,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000026,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000027,Pretrained soft router,support,True,False
ate_poor_overlap,85000027,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000027,Temperature-scaled router,support,True,False
ate_poor_overlap,85000027,Uniform expert mean,support,True,False
ate_poor_overlap,85000027,Median expert,support,True,False
ate_poor_overlap,85000027,Best fixed expert,support,True,False
ate_poor_overlap,85000027,Metadata-only selector,support,True,False
ate_poor_overlap,85000027,Shallow risk selector,support,True,False
ate_poor_overlap,85000027,Convex stack,support,True,False
ate_poor_overlap,85000027,Linear g-computation,support,True,False
ate_poor_overlap,85000027,Random forest g-computation,support,True,False
ate_poor_overlap,85000027,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000027,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000028,Pretrained soft router,support,True,False
ate_poor_overlap,85000028,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000028,Temperature-scaled router,support,True,False
ate_poor_overlap,85000028,Uniform expert mean,support,True,False
ate_poor_overlap,85000028,Median expert,support,True,False
ate_poor_overlap,85000028,Best fixed expert,support,True,False
ate_poor_overlap,85000028,Metadata-only selector,support,True,False
ate_poor_overlap,85000028,Shallow risk selector,support,True,False
ate_poor_overlap,85000028,Convex stack,support,True,False
ate_poor_overlap,85000028,Linear g-computation,support,True,False
ate_poor_overlap,85000028,Random forest g-computation,support,True,False
ate_poor_overlap,85000028,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000028,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000029,Pretrained soft router,support,True,False
ate_poor_overlap,85000029,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000029,Temperature-scaled router,support,True,False
ate_poor_overlap,85000029,Uniform expert mean,support,True,False
ate_poor_overlap,85000029,Median expert,support,True,False
ate_poor_overlap,85000029,Best fixed expert,support,True,False
ate_poor_overlap,85000029,Metadata-only selector,support,True,False
ate_poor_overlap,85000029,Shallow risk selector,support,True,False
ate_poor_overlap,85000029,Convex stack,support,True,False
ate_poor_overlap,85000029,Linear g-computation,support,True,False
ate_poor_overlap,85000029,Random forest g-computation,support,True,False
ate_poor_overlap,85000029,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000029,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000030,Pretrained soft router,support,True,False
ate_poor_overlap,85000030,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000030,Temperature-scaled router,support,True,False
ate_poor_overlap,85000030,Uniform expert mean,support,True,False
ate_poor_overlap,85000030,Median expert,support,True,False
ate_poor_overlap,85000030,Best fixed expert,support,True,False
ate_poor_overlap,85000030,Metadata-only selector,support,True,False
ate_poor_overlap,85000030,Shallow risk selector,support,True,False
ate_poor_overlap,85000030,Convex stack,support,True,False
ate_poor_overlap,85000030,Linear g-computation,support,True,False
ate_poor_overlap,85000030,Random forest g-computation,support,True,False
ate_poor_overlap,85000030,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000030,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000031,Pretrained soft router,support,True,False
ate_poor_overlap,85000031,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000031,Temperature-scaled router,support,True,False
ate_poor_overlap,85000031,Uniform expert mean,support,True,False
ate_poor_overlap,85000031,Median expert,support,True,False
ate_poor_overlap,85000031,Best fixed expert,support,True,False
ate_poor_overlap,85000031,Metadata-only selector,support,True,False
ate_poor_overlap,85000031,Shallow risk selector,support,True,False
ate_poor_overlap,85000031,Convex stack,support,True,False
ate_poor_overlap,85000031,Linear g-computation,support,True,False
ate_poor_overlap,85000031,Random forest g-computation,support,True,False
ate_poor_overlap,85000031,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000031,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000032,Pretrained soft router,support,True,False
ate_poor_overlap,85000032,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000032,Temperature-scaled router,support,True,False
ate_poor_overlap,85000032,Uniform expert mean,support,True,False
ate_poor_overlap,85000032,Median expert,support,True,False
ate_poor_overlap,85000032,Best fixed expert,support,True,False
ate_poor_overlap,85000032,Metadata-only selector,support,True,False
ate_poor_overlap,85000032,Shallow risk selector,support,True,False
ate_poor_overlap,85000032,Convex stack,support,True,False
ate_poor_overlap,85000032,Linear g-computation,support,True,False
ate_poor_overlap,85000032,Random forest g-computation,support,True,False
ate_poor_overlap,85000032,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000032,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000033,Pretrained soft router,support,True,False
ate_poor_overlap,85000033,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000033,Temperature-scaled router,support,True,False
ate_poor_overlap,85000033,Uniform expert mean,support,True,False
ate_poor_overlap,85000033,Median expert,support,True,False
ate_poor_overlap,85000033,Best fixed expert,support,True,False
ate_poor_overlap,85000033,Metadata-only selector,support,True,False
ate_poor_overlap,85000033,Shallow risk selector,support,True,False
ate_poor_overlap,85000033,Convex stack,support,True,False
ate_poor_overlap,85000033,Linear g-computation,support,True,False
ate_poor_overlap,85000033,Random forest g-computation,support,True,False
ate_poor_overlap,85000033,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000033,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000034,Pretrained soft router,support,True,False
ate_poor_overlap,85000034,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000034,Temperature-scaled router,support,True,False
ate_poor_overlap,85000034,Uniform expert mean,support,True,False
ate_poor_overlap,85000034,Median expert,support,True,False
ate_poor_overlap,85000034,Best fixed expert,support,True,False
ate_poor_overlap,85000034,Metadata-only selector,support,True,False
ate_poor_overlap,85000034,Shallow risk selector,support,True,False
ate_poor_overlap,85000034,Convex stack,support,True,False
ate_poor_overlap,85000034,Linear g-computation,support,True,False
ate_poor_overlap,85000034,Random forest g-computation,support,True,False
ate_poor_overlap,85000034,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000034,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000035,Pretrained soft router,support,True,False
ate_poor_overlap,85000035,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000035,Temperature-scaled router,support,True,False
ate_poor_overlap,85000035,Uniform expert mean,support,True,False
ate_poor_overlap,85000035,Median expert,support,True,False
ate_poor_overlap,85000035,Best fixed expert,support,True,False
ate_poor_overlap,85000035,Metadata-only selector,support,True,False
ate_poor_overlap,85000035,Shallow risk selector,support,True,False
ate_poor_overlap,85000035,Convex stack,support,True,False
ate_poor_overlap,85000035,Linear g-computation,support,True,False
ate_poor_overlap,85000035,Random forest g-computation,support,True,False
ate_poor_overlap,85000035,AIPW / network orthogonal,support,True,False
ate_poor_overlap,85000035,DR learner (spline nuisances),support,True,False
ate_poor_overlap,85000036,Pretrained soft router,support,True,False
ate_poor_overlap,85000036,Pretrained hard top-1,support,True,False
ate_poor_overlap,85000036,Temperature-scaled router,support,True,False
ate_poor_overlap,85000036,Uniform expert mean,support,True,False
ate_poor_overlap,85000036,Median expert,support,True,False
ate_poor_overlap,85000036,Best fixed expert,support,True,False
ate_poor_overlap,85000036,Metadata-only selector,support,True,False
ate_poor_overlap,85000036,Shallow risk selector,support,True,False
ate_poor_overlap,85000036,Convex stack,support,True,False
ate_poor_overlap,85000036,Linear g-computation,support,True,False
ate_poor_overlap,85000036,Random forest g-computation,support,True,False
ate_poor_overlap,85000036,AIPW / network orthogonal,support,True,False
