line,text
861,"Table~\ref{tab:regime} compares CWFM with the recursive splitting baseline. On strong splits the baseline is more sensitive (exact accuracy 0.800 versus 0.633). The decisive difference is the stationary nonlinear hard negative: the baseline declares a split in 100\% of these episodes, mistaking one curved mechanism for two regimes in every single run, while CWFM declares a split in only 16.7\% and identifies the correct stationary structure in 83.3\%. Both methods are essentially perfect on the complete null, and both fail on the deliberately weak splits, whose signal is simply too small at this sample size. Pooled over all four cells, CWFM reaches 0.617 exact accuracy versus 0.458 for the baseline. The trade of some sensitivity for a large gain in structural specificity is intentional and follows from the calibrated decision threshold of Section~\ref{sec:approach-calibration}."
876,Pooled exact accuracy & \multicolumn{2}{c}{\textbf{0.617}} & \multicolumn{2}{c}{0.458}\\
885,"Figure~\ref{fig:rq4} shows effect MAE on the six mechanism and graph families that were entirely excluded from training. On hinge outcomes, multiplicative outcomes, and the unfamiliar Erd\H{o}s-R\'enyi random graphs, error stays essentially at the in-distribution level. Saturating outcomes and small-world graphs roughly double it, which is a moderate and arguably acceptable degradation. Nonmonotone interference, however, fails badly, with an MAE of 1.357, roughly eight times the in-distribution level: spillovers that first rise and then fall resemble nothing in the training distribution, and the model has no basis for them."
897,"x tick label style={/pgf/number format/.cd, fixed, precision=2},"
904,"nodes near coords style={font=\scriptsize, color=inkdark, /pgf/number format/.cd, fixed, fixed zerofill, precision=3}] coordinates {"
908,"nodes near coords style={font=\scriptsize, color=inkdark, /pgf/number format/.cd, fixed, fixed zerofill, precision=3}] coordinates {"
923,"The cleanest evidence is the comparison with CWFM (compiled only): the two systems produce point estimates that are equal to numerical precision. The gated neural residual remains almost closed (mean gate activation 0.0067) and its mean absolute correction is below $3\times10^{-8}$, so the no-harm training of Section~\ref{sec:approach-estimation} did exactly what it was designed to do, and no more: the residual never damaged the compiled estimate, and it also never improved it. Similarly, the posterior over causal worlds remained effectively uniform across its particles in this run, so the world machinery, while architecturally in place, did not yet contribute measurable value. We consider reporting these honest negatives more useful than hiding them behind aggregate scores."
937,Insertion of an irrelevant covariate & $0.039$\\
1082,"""cwfm/train.py"": ""7678cd5a58df31abce797164d65ebf171b0a0aaa2a784111463d6985e63d606b"""
1140,"static_ate,ate_hidden_confounding,AIPW,1.2531731643083888,0.5797868144379553,30,0.4,0.4982728791224398,30,2.1307818189383427,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1141,"static_ate,ate_hidden_confounding,CWFM-Compiled,1.2203570538805772,0.3275652529183851,30,0.0,0.0,30,0.7265013660075312,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1142,"static_ate,ate_hidden_confounding,CWFM-Revised,,,0,,,0,,,0,,,0,0.0,0.0,30,,,0,,,0"
1143,"static_ate,ate_hidden_confounding,Interaction g-computation,1.2200288133680175,0.3453931931358209,30,0.0,0.0,30,0.6580814738921656,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1144,"static_ate,ate_hidden_confounding,Linear g-computation,1.219217177795744,0.3185878816992718,30,0.0,0.0,30,0.6659842276227759,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1145,"static_ate,ate_hidden_confounding,Random forest g-computation,0.905357980470822,0.3701011163577397,30,0.36666666666666664,0.49013251785356093,30,1.5771227449615621,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1146,"static_ate,ate_hidden_confounding,Spline g-computation,1.2312559785926689,0.34569067148218324,30,0.0,0.0,30,0.6962357096518006,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1147,"static_ate,ate_linear,AIPW,0.34928847384760947,0.2559544530977202,30,1.0,0.0,30,2.1307818189383427,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1148,"static_ate,ate_linear,CWFM-Compiled,0.1676984999658056,0.10939888656634177,30,0.9666666666666667,0.18257418583505536,30,0.7265013660075312,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1149,"static_ate,ate_linear,CWFM-Revised,0.16769849499875186,0.10939889267584707,30,0.9666666666666667,0.18257418583505536,30,0.8320185973224988,0.18632376847551813,30,,,0,1.0,0.0,30,,,0,,,0"
1150,"static_ate,ate_linear,Interaction g-computation,0.18887042202849127,0.13383296082733206,30,0.8,0.40683810217248617,30,0.6580814738921656,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1151,"static_ate,ate_linear,Linear g-computation,0.1596437704295202,0.09562200857698876,30,1.0,0.0,30,0.6659842276227759,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1152,"static_ate,ate_linear,Random forest g-computation,0.4122422896352065,0.293003332976771,30,0.8666666666666667,0.34574590364176033,30,1.5771227449615621,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1153,"static_ate,ate_linear,Spline g-computation,0.18099282140085038,0.10555868745573993,30,0.9,0.3051285766293647,30,0.6962357096518006,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1154,"static_ate,ate_nonlinear,AIPW,0.5257825871483713,0.6579338231220994,30,0.8666666666666667,0.3457459036417604,30,2.1307818189383427,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1155,"static_ate,ate_nonlinear,CWFM-Compiled,0.1902757828958744,0.19041334292524367,30,0.9,0.30512857662936466,30,0.7265013660075312,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1156,"static_ate,ate_nonlinear,CWFM-Revised,0.1902757826475217,0.1904133392858203,30,0.9,0.30512857662936466,30,0.9840521279028981,0.2079468341100076,30,,,0,1.0,0.0,30,,,0,,,0"
1157,"static_ate,ate_nonlinear,Interaction g-computation,0.1632778993738832,0.1479750457837364,30,0.8666666666666667,0.34574590364176033,30,0.6580814738921656,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1158,"static_ate,ate_nonlinear,Linear g-computation,0.21767203243391958,0.1554297224912785,30,0.8333333333333334,0.3790490217894516,30,0.6659842276227759,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1159,"static_ate,ate_nonlinear,Random forest g-computation,0.5019289815106182,0.3342821771341801,30,0.8333333333333334,0.3790490217894517,30,1.5771227449615621,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1160,"static_ate,ate_nonlinear,Spline g-computation,0.16919051594332715,0.14190134028549842,30,0.9,0.30512857662936466,30,0.6962357096518006,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1161,"static_ate,ate_poor_overlap,AIPW,0.2663646936685616,0.18440628300820078,30,1.0,0.0,30,2.1307818189383427,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1162,"static_ate,ate_poor_overlap,CWFM-Compiled,0.2316155264603636,0.11956134605826566,30,0.8333333333333334,0.3790490217894517,30,0.7265013660075312,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1163,"static_ate,ate_poor_overlap,CWFM-Revised,,,0,,,0,,,0,,,0,0.0,0.0,30,,,0,,,0"
1164,"static_ate,ate_poor_overlap,Interaction g-computation,0.23256442926944437,0.14173120486914198,30,0.7333333333333333,0.4497764451088036,30,0.6580814738921656,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1165,"static_ate,ate_poor_overlap,Linear g-computation,0.23173375984281622,0.13048363785569153,30,0.8333333333333334,0.3790490217894516,30,0.6659842276227759,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1166,"static_ate,ate_poor_overlap,Random forest g-computation,0.5589739606925656,0.39671073515698635,30,0.7,0.46609159969939895,30,1.5771227449615621,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1167,"static_ate,ate_poor_overlap,Spline g-computation,0.2489427437730596,0.16672713255571736,30,0.8,0.4068381021724862,30,0.6962357096518006,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1168,"static_ate,ate_randomized,AIPW,0.20164908457333858,0.14610037373555965,30,1.0,0.0,30,2.1307818189383427,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1169,"static_ate,ate_randomized,CWFM-Compiled,0.14984406714935733,0.12485378043599771,30,0.9333333333333333,0.2537081317024624,30,0.7265013660075312,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1170,"static_ate,ate_randomized,CWFM-Revised,0.1498440779526992,0.12485376518596836,30,0.9666666666666667,0.18257418583505536,30,0.8124465886012694,0.14432155268188374,30,,,0,1.0,0.0,30,,,0,,,0"
1171,"static_ate,ate_randomized,Interaction g-computation,0.15378304238582233,0.13289068257647693,30,0.9333333333333333,0.2537081317024624,30,0.6580814738921656,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1172,"static_ate,ate_randomized,Linear g-computation,0.14132847217776812,0.12719817603621533,30,0.9333333333333333,0.2537081317024624,30,0.6659842276227759,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1173,"static_ate,ate_randomized,Random forest g-computation,0.44916525934813817,0.23747741955996962,30,0.9333333333333333,0.2537081317024624,30,1.5771227449615621,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1174,"static_ate,ate_randomized,Randomized difference-in-means,0.23845391433647362,0.21388507956554936,30,0.9333333333333333,0.2537081317024624,30,0.9852277212016385,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1175,"static_ate,ate_randomized,Spline g-computation,0.14549978208567096,0.12732378462149813,30,0.9333333333333333,0.2537081317024624,30,0.6962357096518006,0.0,30,,,0,1.0,0.0,30,,,0,,,0"
1183,"""checkpoint_sha256"": ""8c3fa941e7bb515f1276281bd339e3032e40fc4247edccfea076067f932bb856"","
1189,"""cwfm/train.py"": ""7678cd5a58df31abce797164d65ebf171b0a0aaa2a784111463d6985e63d606b"","
1223,"""static_ate"": 0.3172979638662901,"
1224,"""static_ate|spline|high_disagreement"": 0.484590871779335,"
1227,"""static_ate|interaction|low_disagreement"": 0.4511769675440678,"
1228,"""static_ate|linear|low_disagreement"": 0.3622386343375534,"
1253,"""static_ate"": 69,"
1254,"""static_ate|spline|high_disagreement"": 12,"
1257,"""static_ate|interaction|low_disagreement"": 17,"
1258,"""static_ate|spline|low_disagreement"": 8,"
1259,"""static_ate|linear|low_disagreement"": 19,"
1261,"""static_ate|linear|high_disagreement"": 4,"
1263,"""static_ate|piecewise|low_disagreement"": 1,"
1264,"""static_ate|interaction|high_disagreement"": 5,"
1265,"""static_ate|piecewise|high_disagreement"": 1,"
1266,"""static_ate|design_or_null|low_disagreement"": 2,"
1271,"""calibration_recall"": 0.4098360655737705,"
1272,"""calibration_false_positive_rate"": 0.0847457627118644,"
1278,"""mean_paired_mae_difference"": -6.20881716410319e-11,"
1285,"""mean_paired_mae_difference"": -0.18963392999011555,"
1292,"""mean_paired_mae_difference"": -0.0002647900414679705,"
1299,"""mean_paired_mae_difference"": -0.0028077361521960855,"
1306,"""mean_paired_mae_difference"": -0.19139268542298013,"
1313,"""mean_paired_mae_difference"": -0.02965106029217214,"
1320,"""mean_paired_mae_difference"": -0.16292078007380587,"
1327,"""mean_paired_mae_difference"": -0.08860983638377444,"
1334,"""mean_paired_mae_difference"": -0.051129559658186566,"
1534,"ate_linear,20000000,static_ate,1,1,1.0,0.9987503290176392,0.6062870621681213,0.006692850962281227,4.070595949201561e-08,0.5444945693016052,0.54449462890625,spline,""[0.22847826778888702, 0.12080628424882889, 0.2485528141260147, 0.20619650185108185, 0.19596610963344574, 0.0]"",""[0.6201260685920715, -0.10564625263214111, 0.6209307909011841, 0.711980938911438, 0.5839270949363708, 0.44170039892196655]"",1.7917587757110596,5.9999918937683105,""[0.16674953699111938, 0.166518896818161, 0.16703581809997559, 0.16650693118572235, 0.1666824221611023, 0.16650640964508057]"",0.4976978600025177,,0.0"
1535,"ate_linear,20000001,static_ate,1,1,1.0,0.99883633852005,0.3104434907436371,0.006692850962281227,-4.6536428044419154e-08,-0.47698497772216797,-0.47698503732681274,linear,""[0.23946963250637054, 0.11592144519090652, 0.21344344317913055, 0.23206254839897156, 0.19910293817520142, 0.0]"",""[-0.459593266248703, -0.5344080328941345, -0.4475708305835724, -0.4494648873806, -0.5280783772468567, -0.23207560181617737]"",1.7917588949203491,5.9999918937683105,""[0.16674692928791046, 0.16651856899261475, 0.16703453660011292, 0.16651028394699097, 0.16668130457401276, 0.16650843620300293]"",0.3986598253250122,,0.0"
1536,"ate_linear,20000002,static_ate,1,1,1.0,0.9989272952079773,0.4822002351284027,0.006692850962281227,0.0,0.17924945056438446,0.17924945056438446,linear,""[0.23088207840919495, 0.1231350377202034, 0.19683532416820526, 0.2300199419260025, 0.21912768483161926, 0.0]"",""[0.15033988654613495, 0.18981795012950897, 0.19311296939849854, 0.22055666148662567, 0.14795735478401184, 0.1940913200378418]"",1.7917587757110596,5.9999918937683105,""[0.1667478382587433, 0.16651834547519684, 0.1670353263616562, 0.16650868952274323, 0.16668230295181274, 0.1665075123310089]"",0.45445162057876587,,0.0"
1537,"ate_linear,20000003,static_ate,1,1,1.0,0.9985166192054749,0.22619107365608215,0.006692850962281227,7.900482756895144e-08,-1.2315077781677246,-1.2315077781677246,linear,""[0.25230661034584045, 0.10415469110012054, 0.23892085254192352, 0.23328636586666107, 0.1713315099477768, 0.0]"",""[-1.2084949016571045, -1.1991595029830933, -1.2021520137786865, -1.259792685508728, -1.2874854803085327, -1.0313482284545898]"",1.7917587757110596,5.999992847442627,""[0.16674786806106567, 0.1665191650390625, 0.1670345664024353, 0.16650918126106262, 0.16668108105659485, 0.16650809347629547]"",0.42123284935951233,,0.0"
1538,"ate_linear,20000004,static_ate,1,1,1.0,0.9986649751663208,0.6742661595344543,0.006692850962281227,0.0,1.1465786695480347,1.1465786695480347,interaction,""[0.21104303002357483, 0.12435910850763321, 0.21825146675109863, 0.23276054859161377, 0.21358591318130493, 0.0]"",""[1.1856985092163086, 1.0355892181396484, 1.2133783102035522, 1.1798845529556274, 1.067992925643921, 1.146741509437561]"",1.7917587757110596,5.999992847442627,""[0.16674785315990448, 0.1665187031030655, 0.16703495383262634, 0.16650909185409546, 0.16668148338794708, 0.16650786995887756]"",0.5812758207321167,,0.0"
1539,"ate_linear,20000005,static_ate,1,1,1.0,0.9986153841018677,0.24290388822555542,0.006692850962281227,-7.360582543469718e-08,-0.7206702828407288,-0.7206703424453735,interaction,""[0.24576696753501892, 0.10043362528085709, 0.19593548774719238, 0.2597588896751404, 0.19810505211353302, 0.0]"",""[-0.730309247970581, -0.2375268042087555, -0.7889782190322876, -0.8210269212722778, -0.7545028924942017, -0.5834774374961853]"",1.7917588949203491,5.9999918937683105,""[0.1667468398809433, 0.1665179282426834, 0.167035311460495, 0.16651000082492828, 0.16668246686458588, 0.1665075272321701]"",0.42313262820243835,,0.0"
1540,"ate_linear,20000006,static_ate,1,1,1.0,0.9988155364990234,0.34434330463409424,0.006692850962281227,0.0,-0.1528199464082718,-0.1528199464082718,linear,""[0.2625758945941925, 0.11810533702373505, 0.1851237714290619, 0.23027931153774261, 0.20391571521759033, 0.0]"",""[-0.24864187836647034, -0.10511761903762817, -0.17998909950256348, -0.02061784453690052, -0.18169021606445312, -0.6074312329292297]"",1.7917587757110596,5.9999918937683105,""[0.16674847900867462, 0.16651855409145355, 0.1670357584953308, 0.16650818288326263, 0.16668258607387543, 0.16650643944740295]"",0.4161533713340759,,0.0"
1541,"ate_linear,20000007,static_ate,1,1,1.0,0.9984429478645325,0.21924015879631042,0.006692850962281227,-7.756401743108654e-08,-1.1737449169158936,-1.1737449169158936,interaction,""[0.2513035237789154, 0.09760682284832001, 0.21797160804271698, 0.2537335455417633, 0.1793844848871231, 0.0]"",""[-1.2429629564285278, -0.853131890296936, -1.1878979206085205, -1.2147138118743896, -1.1760811805725098, -1.1489182710647583]"",1.7917588949203491,5.999991416931152,""[0.166746586561203, 0.16651825606822968, 0.16703464090824127, 0.166510671377182, 0.16668158769607544, 0.16650833189487457]"",0.43338894844055176,,0.0"
1542,"ate_linear,20000008,static_ate,1,1,1.0,0.9984733462333679,0.23831792175769806,0.006692850962281227,0.0,-0.8226368427276611,-0.8226368427276611,interaction,""[0.23425807058811188, 0.09526193141937256, 0.18014727532863617, 0.282912015914917, 0.2074207216501236, 0.0]"",""[-0.9169650673866272, 0.030064983293414116, -0.9150883555412292, -0.9071288108825684, -0.9121850728988647, -0.538027822971344]"",1.7917587757110596,5.9999918937683105,""[0.1667463630437851, 0.16651827096939087, 0.16703449189662933, 0.16651107370853424, 0.16668130457401276, 0.1665085256099701]"",0.4532914459705353,,0.0"
1543,"ate_linear,20000009,static_ate,1,1,1.0,0.998421311378479,0.6689719557762146,0.006692850962281227,0.0,1.4986416101455688,1.4986416101455688,interaction,""[0.22176356613636017, 0.10685700923204422, 0.22375380992889404, 0.2444731742143631, 0.20315246284008026, 0.0]"",""[1.4555268287658691, 1.4655404090881348, 1.5275578498840332, 1.5447150468826294, 1.475823998451233, 1.0802373886108398]"",1.7917588949203491,5.9999918937683105,""[0.16674937307834625, 0.16651920974254608, 0.16703586280345917, 0.16650672256946564, 0.16668252646923065, 0.1665063500404358]"",0.6255080103874207,,0.0"
1544,"ate_linear,20000010,static_ate,1,1,1.0,0.9984130859375,0.21032589673995972,0.006692850962281227,0.0,-1.3696681261062622,-1.3696681261062622,interaction,""[0.25381678342819214, 0.09079960733652115, 0.21018142998218536, 0.2718622088432312, 0.17333994805812836, 0.0]"",""[-1.3367040157318115, -0.934056282043457, -1.4402507543563843, -1.4160075187683105, -1.487858533859253, -1.6753021478652954]"",1.7917587757110596,5.999992370605469,""[0.1667497754096985, 0.1665191948413849, 0.16703569889068604, 0.1665066033601761, 0.16668228805065155, 0.16650643944740295]"",0.44630226492881775,,0.0"
1545,"ate_linear,20000011,static_ate,1,1,1.0,0.9986609220504761,0.691257894039154,0.006692850962281227,0.0,1.2014421224594116,1.2014421224594116,interaction,""[0.2053123414516449, 0.1222183033823967, 0.2204774171113968, 0.23660700023174286, 0.21538494527339935, 0.0]"",""[1.2353930473327637, 1.228367805480957, 1.1686582565307617, 1.2461519241333008, 1.1382436752319336, 1.6078898906707764]"",1.7917587757110596,5.999992370605469,""[0.1667475700378418, 0.1665181815624237, 0.167035311460495, 0.16650955379009247, 0.1666819304227829, 0.16650745272636414]"",0.5951263308525085,,0.0"
1546,"ate_linear,20000012,static_ate,1,1,1.0,0.9985692501068115,0.6642581224441528,0.006692850962281227,8.538562923376958e-08,1.3003004789352417,1.3003005981445312,interaction,""[0.21783052384853363, 0.11611348390579224, 0.22214409708976746, 0.23853358626365662, 0.20537835359573364, 0.0]"",""[1.3470524549484253, 1.124085783958435, 1.3824684619903564, 1.3243318796157837, 1.2335528135299683, 0.976773202419281]"",1.7917587757110596,5.9999918937683105,""[0.1667460948228836, 0.16651785373687744, 0.16703470051288605, 0.16651131212711334, 0.16668175160884857, 0.16650833189487457]"",0.596901535987854,,0.0"
1547,"ate_linear,20000013,static_ate,1,1,1.0,0.99868243932724,0.6656116843223572,0.006692850962281227,0.0,0.8763013482093811,0.8763013482093811,spline,""[0.21464650332927704, 0.11350402235984802, 0.25375208258628845, 0.22153310477733612, 0.19656431674957275, 0.0]"",""[0.9922021627426147, 0.33032047748565674, 0.9770467877388, 0.9430916905403137, 0.8596789836883545, 1.0392746925354004]"",1.7917587757110596,5.9999918937683105,""[0.1667478084564209, 0.16651809215545654, 0.16703546047210693, 0.16650886833667755, 0.16668258607387543, 0.16650719940662384]"",0.5573834776878357,,0.0"
